Species,Parity
Eulamprus_luteilateralis,1
Eulamprus_murrayi,1
Eulamprus_tryoni,1
Ophioscincus_truncatus,0
Coeranoscincus_reticulatus,0
Ophioscincus_ophioscincus,0
Anomalopus_swansoni,1
Anomalopus_mackayi,0
Anomalopus_leuckartii,0
Anomalopus_verreauxi,0
Glaphyromorphus_punctulatus,0
Glaphyromorphus_cracens,0
Glaphyromorphus_pumilus,0
Glaphyromorphus_fuscicaudis,0
Glaphyromorphus_mjobergi,0
Glaphyromorphus_darwiniensis,0
Eulamprus_leuraensis,1
Eulamprus_quoyii,1
Eulamprus_kosciuskoi,1
Eulamprus_tympanum,1
Eulamprus_heatwolei,1
Eremiascincus_fasciolatus,0
Glaphyromorphus_pardalis,0
Eremiascincus_richardsonii,0
Glaphyromorphus_isolepis,0
Glaphyromorphus_douglasi,0
Glaphyromorphus_gracilipes,1
Hemiergis_decresiensis,1
